age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'poule' and 'pull'.,poule / pull,"[""Focus on 'ou' pronounced 'oo' and 'u' pronounced tightly."", 'Repeat each slowly.', 'Keep lip positions consistent for clarity.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'See' and 'sie'.,See / sie,"[""Notice 'ee' and 'ie' create long vowel sounds."", 'Repeat both slowly.', 'Keep vowels clear and long.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'جمل' (camel) and 'عمل' (work).,جمل / عمل,"[""Focus on 'ج' (j) and 'ع' (deep sound)."", 'Repeat both slowly.', ""Notice the throat sound in 'ع'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'caro' and 'carro'.,caro / carro,"[""Focus on single vs double 'r'."", 'Repeat both words slowly.', ""Practice rolling 'r' longer for 'carro'.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'flor'.,flor,"[""Focus on the 'fl' blend at the start."", 'Repeat the word slowly.', ""Keep the 'r' sound light at the end.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'eau'.,eau,"[""Notice 'eau' is pronounced like 'o'."", 'Repeat slowly and clearly.', 'Focus on smooth vowel sound.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Katze'.,Katze,"[""Focus on 'tz' which sounds like 'ts'."", 'Repeat the word slowly.', ""Say both syllables clearly: 'Kat-ze'.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'قلم' (pen).,قلم,"[""Focus on the strong 'ق' sound."", 'Repeat slowly.', 'Pronounce each letter distinctly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'sole'.,sole,"[""Focus on the 's' and open 'o'."", 'Repeat the word slowly.', 'Say it clearly with smooth vowels.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'mesa' and 'masa'.,mesa / masa,"[""Notice the vowel difference: 'e' vs 'a'."", 'Repeat both slowly.', 'Focus on clear vowel pronunciation.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'clé' and 'cléa'.,clé / cléa,"['Notice the change in vowel length.', 'Repeat both slowly.', ""Keep the 'é' sound sharp and short.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'ball' and 'Bälle'.,ball / Bälle,"[""Focus on 'ä' pronounced like 'eh'."", 'Repeat both words slowly.', 'Note the plural form’s sound change.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'دب' (bear) and 'تُب' (repent).,دب / تُب,"[""Notice 'د' and 'ت' differ in tongue position."", 'Repeat both slowly.', ""Focus on lighter 'ت' and heavier 'د'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'bello' and 'belloa'.,bello / belloa,"['Notice the added vowel changes rhythm.', 'Repeat both slowly.', ""Keep 'll' long and soft.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'ciudad' and focus on the 'ci' sound.,ciudad,"[""Notice 'ci' is pronounced like 'see'."", 'Repeat slowly.', ""Emphasize the middle 'u'.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'beau' and 'bot'.,beau / bot,"[""Focus on 'eau' pronounced 'o' and 'o' short sound."", 'Repeat both words.', 'Keep vowels distinct and rounded.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'Freund' and 'Freunde'.,Freund / Freunde,"[""Notice 'e' adds an extra syllable."", 'Repeat both words slowly.', 'Keep consonants strong and clear.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'طريق' (road) and 'تريق'.,طريق / تريق,"[""Notice 'ط' is deeper than 'ت'."", 'Repeat both slowly.', ""Focus on throat pressure for 'ط'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'ci' and 'chi' sounds in 'cinema' and 'chitarra'.,cinema / chitarra,"[""Notice 'ci' sounds like 'chee' and 'chi' like 'key'."", 'Repeat both words slowly.', ""Focus on vowel that follows 'c'.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'pato' and 'plato'.,pato / plato,"[""Notice the extra 'l' in 'plato' changes rhythm."", 'Repeat both words slowly.', 'Say consonant clusters clearly.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'chat' and 'château'.,chat / château,"[""Notice 'ch' pronounced 'sh'."", 'Repeat both slowly.', ""Hear the longer vowel in 'château'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'fahren' and 'fallen'.,fahren / fallen,"[""Notice the 'r' sound difference."", 'Repeat both slowly.', 'Focus on vowel and consonant clarity.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'باب' (door) and 'داب' (he melted).,باب / داب,"[""Notice the 'b' and 'd' sound difference."", 'Repeat slowly.', 'Focus on where your tongue starts each sound.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'capo' and 'cappo'.,capo / cappo,"[""Notice the double 'p' makes a longer stop."", 'Repeat both words slowly.', 'Pause slightly for the double consonant.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'perro'.,perro,"[""Focus on rolling the double 'r'."", 'Repeat the word slowly.', 'Keep your tongue loose to make the trill sound.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'nez'.,nez,"[""Notice the nasal sound in 'nez'."", 'Repeat slowly.', ""Avoid pronouncing the final 'z'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Buch'.,Buch,"[""Focus on the 'ch' pronounced from the back of the throat."", 'Repeat slowly.', ""Keep the 'u' sound long and round.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'بيت' (house).,بيت,"[""Emphasize the 'b' and 't' sounds."", 'Repeat slowly.', 'Say each letter clearly.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'latte'.,latte,"[""Notice the double 't' with a short pause."", 'Repeat slowly.', ""Say the vowels clearly: 'la-tte'.""]"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'cielo' and 'ciclo'.,cielo / ciclo,"[""Notice 'ce' sounds like 'the' (Spain) or 'se' (Latin America)."", 'Repeat both slowly.', ""Focus on vowel change between 'e' and 'i'.""]"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'pain' and 'pont'.,pain / pont,"['Notice the nasal vowel in both words.', ""Focus on 'in' vs. 'on'."", 'Repeat slowly, emphasizing the vowel difference.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'Mutter' and 'Meter'.,Mutter / Meter,"[""Notice vowel difference 'u' vs 'e'."", 'Repeat both slowly.', ""Keep the final 'r' soft.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'ر' and 'غ'.,ر / غ,"[""Notice 'ر' is rolled lightly and 'غ' is from the throat."", 'Repeat both slowly.', 'Pay attention to where the sound starts in your mouth.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'banca' and 'bianca'.,banca / bianca,"[""Notice 'ca' sounds like 'ka' and 'cia' sounds like 'chya'."", 'Repeat both slowly.', 'Focus on vowel and consonant combination.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'silla' and 'zorro'.,silla / zorro,"[""Notice 'll' and 'z' are pronounced differently depending on region."", 'Repeat both words slowly.', 'Focus on mouth shape for each sound.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'jour' and 'jouer'.,jour / jouer,"[""Focus on 'ou' and 'er' endings."", 'Repeat both slowly.', ""Notice how 'er' adds a light extra syllable.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'über' and 'unter'.,über / unter,"[""Notice 'ü' and 'u' difference in vowels."", 'Repeat slowly.', ""Round your lips for 'ü'.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'حمار' (donkey) and 'خمار' (veil).,حمار / خمار,"[""Focus on 'ح' (deep) vs 'خ' (throaty)."", 'Repeat slowly.', 'Feel air difference when pronouncing each.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'zaino' and 'zano'.,zaino / zano,"[""Notice 'ai' makes an 'eye' sound."", 'Repeat both slowly.', 'Focus on vowel blend clarity.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'dado' and 'dedo'.,dado / dedo,"[""Listen to 'a' vs 'e' vowels."", 'Repeat both words slowly.', 'Keep vowels open and clear.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'clé' and 'cléf'.,clé / cléf,"[""Notice the silent 'f' in modern pronunciation."", 'Repeat both slowly.', ""Say 'clé' with sharp 'é'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'spielen' and 'spülen'.,spielen / spülen,"[""Notice 'ie' vs 'ü' vowel sound."", 'Repeat slowly.', 'Keep vowel distinction clear.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'سور' (wall) and 'صور' (pictures).,سور / صور,"[""Notice 'و' makes 'oo' sound in both."", 'Repeat slowly.', 'Focus on difference in first letter pronunciation.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'buono' and 'buona'.,buono / buona,"[""Notice 'o' and 'a' endings change gender."", 'Repeat both slowly.', 'Say vowels clearly and open.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'mano'.,mano,"[""Focus on the clear 'm' and 'n' sounds."", 'Repeat slowly.', 'Keep each syllable short and even.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'lune'.,lune,"[""Notice the nasal 'u' sound."", 'Repeat softly with rounded lips.', ""Avoid pronouncing the final 'e'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'Kind'.,Kind,"[""Focus on the sharp 'k' sound."", 'Repeat the word slowly.', ""Emphasize the final 't' sound clearly.""]"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'نور' (light).,نور,"[""Focus on the long 'oo' sound from 'و'."", 'Repeat slowly.', 'Say it clearly with smooth tone.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,easy,exercise,Listen and repeat 'vino'.,vino,"[""Focus on the 'v' and 'n' sounds."", 'Repeat the word slowly.', 'Keep vowels open and clear.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'taza' and 'caza'.,taza / caza,"[""Notice the 't' vs 'c' sound."", 'Repeat both slowly.', 'Keep vowel pronunciation consistent.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'beau' and 'boue'.,beau / boue,"[""Notice 'o' vs 'ou' vowel difference."", 'Repeat both slowly.', 'Focus on lip shape changes.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'Haus' and 'Maus'.,Haus / Maus,"[""Notice the 'h' vs 'm' difference at start."", 'Repeat both words.', 'Emphasize the first sound clearly.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'جبل' (mountain) and 'حبل' (rope).,جبل / حبل,"[""Notice 'ج' has 'j' sound and 'ح' is deeper."", 'Repeat both slowly.', 'Feel difference in throat placement.']"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'sera' and 'zero'.,sera / zero,"[""Notice 's' and 'z' sounds differ in strength."", 'Repeat both words slowly.', 'Emphasize the consonant at the start.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'jamón' and 'gato'.,jamón / gato,"[""Notice 'j' is breathy while 'g' is harder."", 'Repeat both slowly.', 'Focus on how your throat feels for each sound.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'bleu' and 'blé'.,bleu / blé,"[""Focus on the vowel: 'eu' vs 'é'."", 'Repeat both slowly.', ""Keep lips rounded for 'eu'.""]"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'Licht' and 'nicht'.,Licht / nicht,"[""Notice the 'ch' in both words is soft."", 'Repeat both slowly.', 'Keep tongue close to top of mouth.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,hard,exercise,Compare 'سهل' (easy) and 'صعب' (hard).,سهل / صعب,"[""Notice 'س' vs 'ص' at the start."", 'Repeat slowly.', ""Emphasize deep sound for 'ص'.""]"
5–7,Foreign Language,Italian,Recognizing sounds and pronunciation differences,hard,exercise,Listen to 'cucina' and 'cina'.,cucina / cina,"[""Notice the extra 'cu' syllable changes the 'ch' sound."", 'Repeat both slowly.', 'Say the full word clearly.']"
5–7,Foreign Language,Spanish,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'rosa' and 'risa'.,rosa / risa,"[""Notice the vowel change between 'o' and 'i'."", 'Repeat both words slowly.', 'Focus on keeping vowels pure.']"
5–7,Foreign Language,French,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'salon' and 'saison'.,salon / saison,"[""Focus on 'o' vs 'ai' vowels."", 'Repeat both slowly.', 'Emphasize nasal sound in both words.']"
5–7,Foreign Language,German,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'Boot' and 'Brot'.,Boot / Brot,"[""Notice 'oo' vs 'o' vowel sounds."", 'Repeat both slowly.', 'Keep vowels clear and distinct.']"
5–7,Foreign Language,Arabic,Recognizing sounds and pronunciation differences,medium,exercise,Compare 'عين' (eye) and 'غين' (gh sound letter).,عين / غين,"[""Focus on 'ع' deep sound vs 'غ' throaty vibration."", 'Repeat slowly.', 'Feel the difference in the throat.']"
